"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "Vue", "XML", "comment", "blank", "total"
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\README.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 4, 8
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\index.html", "HTML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\package-lock.json", "JSON", 0, 1671, 0, 0, 0, 0, 0, 1, 1672
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\App.vue", "Vue", 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\api\ai.js", "JavaScript", 13, 0, 0, 0, 0, 0, 157, 2, 172
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\api\data.js", "JavaScript", 48, 0, 0, 0, 0, 0, 562, 1, 611
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\api\user.js", "JavaScript", 94, 0, 0, 0, 0, 0, 277, 6, 377
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\axios.js", "JavaScript", 35, 0, 0, 0, 0, 0, 10, 4, 49
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\components\CheckNum.vue", "Vue", 0, 0, 0, 0, 34, 0, 0, 0, 34
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\components\CountTo.vue", "Vue", 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\components\FormDrawer.vue", "Vue", 0, 0, 0, 0, 97, 0, 2, 0, 99
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\components\HistoryForm.vue", "Vue", 0, 0, 0, 0, 36, 0, 0, 0, 36
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\components\StockChart.vue", "Vue", 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\components\StockList.vue", "Vue", 0, 0, 0, 0, 148, 0, 2, 0, 150
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\components\TrendIcon.vue", "Vue", 0, 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\components\adviseStock.vue", "Vue", 0, 0, 0, 0, 103, 0, 1, 0, 104
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\components\stockchart\k-line.js", "JavaScript", 691, 0, 0, 0, 0, 0, 60, 49, 800
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\components\trade.vue", "Vue", 0, 0, 0, 0, 140, 0, 1, 2, 143
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\composables\auth.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 0, 15
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\composables\util.js", "JavaScript", 27, 0, 0, 0, 0, 0, 4, 1, 32
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\layouts\components\FHeader.vue", "Vue", 0, 0, 0, 0, 403, 0, 8, 3, 414
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\layouts\components\FMenu.vue", "Vue", 0, 0, 0, 0, 91, 0, 1, 0, 92
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\layouts\user.vue", "Vue", 0, 0, 0, 0, 52, 0, 3, 6, 61
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\main.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\pages\404.vue", "Vue", 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\pages\ai\advise.vue", "Vue", 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\pages\ai\future.vue", "Vue", 0, 0, 0, 0, 305, 0, 8, 3, 316
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\pages\ai\test.vue", "Vue", 0, 0, 0, 0, 272, 0, 2, 0, 274
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\pages\data\main.vue", "Vue", 0, 0, 0, 0, 237, 0, 5, 2, 244
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\pages\data\news.vue", "Vue", 0, 0, 0, 0, 76, 0, 5, 0, 81
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\pages\forget.vue", "Vue", 0, 0, 0, 0, 192, 0, 4, 4, 200
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\pages\index.vue", "Vue", 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\pages\login.vue", "Vue", 0, 0, 0, 0, 426, 0, 7, 6, 439
"c:\Users\MSI\OneDrive\study\code\vscode\getmoney\src\pages\user\center.vue", "Vue", 0, 0, 0, 0, 519, 0, 11, 0, 530
